Name of University,Name of University_lbEncode,Location,Location_lbEncode
Czech Technical University in Prague,202,Czech Republic,19
Cyprus University of Technology,201,Cyprus,18
Curtin University,200,Unknown Location,95
Creighton University,198,United States,94
Comillas Pontifical University,187,Spain,81
Cracow University of Technology,197,Poland,69
Coventry University,196,Unknown Location,95
Covenant University,195,Unknown Location,95
Corvinus University of Budapest,194,Hungary,33
Cornell University,193,United States,94
Copenhagen Business School,192,Denmark,20
Constructor University Bremen,191,Unknown Location,95
Concordia University,190,Canada,11
Complutense University of Madrid,189,Spain,81
Communication University of China,188,China,13
"China Medical University, Taiwan",160,Taiwan,85
Chiba Institute of Technology,158,Japan,43
Bolu Abant Izzet Baysal University,107,Turkey,89
Chiang Mai University,157,Thailand,87
Canterbury Christ Church University,130,United Kingdom,93
Cankaya University,129,Turkey,89
California Institute of Technology,128,United States,94
Cairo University,127,Egypt,22
CY Cergy Paris University,126,France,27
COMSATS University Islamabad,125,Pakistan,66
Bursa Uludağ University,124,Turkey,89
Burapha University,123,Unknown Location,95
Budapest University of Technology and Economics,122,Hungary,33
Bucharest University of Economic Studies,121,Romania,73
Bu-Ali Sina University,120,Iran,37
Brunel University London,119,United Kingdom,93
Brown University,118,United States,94
Brno University of Technology,117,Czech Republic,19
Brighton and Sussex Medical School,116,United Kingdom,93
Brandeis University,115,United States,94
Boğaziçi University,114,Turkey,89
Bozok University,113,Turkey,89
Bowling Green State University,112,United States,94
Bournemouth University,111,United Kingdom,93
Boston University,110,United States,94
Boston College,109,United States,94
Bond University,108,Australia,2
Capital Medical University,131,China,13
Cardiff Metropolitan University,132,United Kingdom,93
Cardiff University,133,Unknown Location,95
Chalmers University of Technology,146,Sweden,83
Chengdu University,156,Unknown Location,95
Charles University,155,Czech Republic,19
Charles Sturt University,154,Australia,2
Charles Darwin University,153,Australia,2
Charité - Universitätsmedizin Berlin,152,Germany,29
Chapman University,151,United States,94
Chaoyang University of Technology,150,Taiwan,85
Changsha University of Science and Technology,149,China,13
Chang Gung University of Science and Technology,148,Taiwan,85
Chang Gung University,147,Unknown Location,95
Centrale Nantes,145,France,27
Carleton University,134,Canada,11
Central South University,144,China,13
Central Queensland University,143,Unknown Location,95
Ceará State University,142,Brazil,8
Ca’ Foscari University of Venice,141,Italy,41
Catholic University of the North,140,Chile,12
Catholic University of Portugal,139,Portugal,70
Catholic University of Brasília,138,Brazil,8
Case Western Reserve University,137,United States,94
Carnegie Mellon University,136,United States,94
Carlos III University of Madrid,135,Unknown Location,95
Istanbul Technical University,423,Turkey,89
Istanbul University,424,Turkey,89
Istanbul University-Cerrahpaşa,425,Turkey,89
National and Kapodistrian University of Athens,690,Greece,31
Norwegian University of Science and Technology,714,Norway,64
Norwegian University of Life Sciences,713,Norway,64
Northwestern University,712,United States,94
Northwestern Polytechnical University,711,China,13
Northwest University,710,China,13
Northumbria University,709,United Kingdom,93
Northern Illinois University,708,United States,94
"Northeastern University, US",707,United States,94
"Northeastern University, China",706,China,13
Northeast Normal University,705,China,13
North-West University,704,South Africa,79
North South University,703,Bangladesh,5
North China Electric Power University,702,China,13
North Carolina State University,701,United States,94
Nnamdi Azikiwe University,700,Nigeria,62
Nippon Medical School,699,Japan,43
Niigata University,698,Japan,43
Nicolaus Copernicus University in Toruń,697,Poland,69
Newcastle University,696,Unknown Location,95
New York University,695,United States,94
New Mexico State University (Main campus),694,United States,94
New Jersey Institute of Technology,693,United States,94
Necmettin Erbakan University,692,Turkey,89
Nottingham Trent University,715,United Kingdom,93
Nova Southeastern University,716,United States,94
Nueva Granada Military University,717,Colombia,14
Open University of Catalonia,730,Spain,81
Oxford Brookes University,740,United Kingdom,93
Ovidius University of Constanța,739,Romania,73
Osmania University,738,India,35
Osaka University,737,Japan,43
Osaka Metropolitan University,736,Japan,43
Osaka Medical and Pharmaceutical University,735,Japan,43
Osaka Institute of Technology,734,Japan,43
Oregon Health and Science University,733,United States,94
Oran 1 University,732,Algeria,0
Opole University of Technology,731,Poland,69
Ontario Tech University,729,Canada,11
Oakland University,718,United States,94
Ondokuz Mayis University,728,Turkey,89
Oles Honchar Dnipro National University,727,Ukraine,91
Old Dominion University,726,United States,94
Oklahoma State University,725,United States,94
Okayama University,724,Japan,43
Oita University,723,Japan,43
Ohio University (Main campus),722,United States,94
Ohio State University (Main campus),721,United States,94
Ochanomizu University,720,Japan,43
Obafemi Awolowo University,719,Nigeria,62
Near East University,691,Northern Cyprus,63
National Yunlin University of Science and Technology,689,Taiwan,85
PMAS Arid Agriculture University Rawalpindi,742,Pakistan,66
National Yang Ming Chiao Tung University,688,Taiwan,85
National Formosa University,661,Taiwan,85
National Dong Hwa University,660,Unknown Location,95
National Chung Hsing University,659,Taiwan,85
National Chung Cheng University,658,Unknown Location,95
National Chin-Yi University of Technology,657,Taiwan,85
National Chiayi University,656,Taiwan,85
National Chi Nan University,655,Taiwan,85
National Chengchi University,654,Taiwan,85
National Cheng Kung University (NCKU),653,Unknown Location,95
National Changhua University of Education,652,Taiwan,85
National Central University,651,Taiwan,85
National Autonomous University of Mexico,650,Mexico,54
Naresuan University,649,Thailand,87
"Nanyang Technological University, Singapore",648,Singapore,76
Nantes Université,647,France,27
Nankai University,646,China,13
Nanjing University of Information Science and Technology,645,China,13
Nanjing University of Aeronautics and Astronautics,644,China,13
Nanjing University,643,China,13
Nanjing Tech University,642,China,13
Nanjing Normal University,641,China,13
Nanjing Medical University,640,China,13
Nanjing Forestry University,639,China,13
National Ilan University,662,Taiwan,85
National Institute of Applied Sciences of Lyon (INSA Lyon),663,France,27
National Institute of Technology Hamirpur,664,India,35
National Technical University of Athens,677,Greece,31
National University of Singapore,687,Unknown Location,95
National University of Sciences and Technology,686,Pakistan,66
National University of San Martín,685,Argentina,1
National University of Kaohsiung,684,Taiwan,85
National University of Distance Education (UNED),683,Spain,81
National University of Córdoba,682,Argentina,1
National University of Colombia,681,Colombia,14
National United University,680,Taiwan,85
National Tsing Hua University,679,Taiwan,85
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,678,Ukraine,91
National Technical University Kharkiv Polytechnic Institute,676,Ukraine,91
National Institute of Technology Rourkela,665,India,35
National Taiwan University of Science and Technology (Taiwan Tech),675,Taiwan,85
National Taiwan University (NTU),674,Unknown Location,95
National Taiwan Ocean University,673,Taiwan,85
National Taiwan Normal University,672,Unknown Location,95
National Taipei University of Technology,671,Taiwan,85
National Taipei University,670,Taiwan,85
National Sun Yat-Sen University,669,Taiwan,85
National Kaohsiung University of Science and Technology,668,Taiwan,85
"National Institute of Technology, Tiruchirappalli",667,India,35
National Institute of Technology Silchar,666,India,35
Ozyegin University,741,Turkey,89
PSG College of Technology,743,India,35
Nagoya University,637,Japan,43
Queen’s University,796,Unknown Location,95
Royal Veterinary College,820,United Kingdom,93
"Royal Holloway, University of London",819,United Kingdom,93
Rowan University,818,United States,94
Rovira i Virgili University,817,Spain,81
Roskilde University,816,Denmark,20
Rochester Institute of Technology,815,United States,94
Robert Gordon University,814,United Kingdom,93
Ritsumeikan University,813,Japan,43
Riphah International University,812,Pakistan,66
Rikkyo University,811,Japan,43
Riga Technical University,810,Latvia,47
Riga Stradiņš University,809,Latvia,47
Rice University,808,United States,94
Rhodes University,807,South Africa,79
Reykjavík University,806,Iceland,34
Rensselaer Polytechnic Institute,805,United States,94
Reichman University,804,Israel,40
Recep Tayyip Erdoğan University,803,Turkey,89
Radboud University Nijmegen,802,Unknown Location,95
RWTH Aachen University,801,Germany,29
RMIT University,800,Australia,2
RCSI University of Medicine and Health Sciences,799,Unknown Location,95
R V College of Engineering,798,India,35
Ruhr University Bochum,821,Germany,29
Rush University,822,United States,94
Rutgers University – New Brunswick,823,United States,94
Saint Louis University,836,United States,94
Sathyabama Institute of Science and Technology,846,Unknown Location,95
Satbayev University,845,Kazakhstan,45
Sapporo Medical University,844,Japan,43
Sapienza University of Rome,843,Italy,41
Sant’Anna School of Advanced Studies – Pisa,842,Unknown Location,95
San Sebastián University,841,Chile,12
San Diego State University,840,United States,94
Sakarya University,839,Turkey,89
Saitama University,838,Japan,43
Saitama Medical University,837,Japan,43
Sahand University of Technology,835,Iran,37
Ryukoku University,824,Japan,43
Saga University,834,Japan,43
Sabancı University,833,Unknown Location,95
SWPS University of Social Sciences and Humanities,832,Poland,69
SUNY University at Albany,831,United States,94
SRUC (Scotland’s Rural College),830,United Kingdom,93
SRM Institute of Science and Technology,829,India,35
SOAS University of London,828,United Kingdom,93
SGH Warsaw School of Economics,827,Poland,69
SASTRA University,826,India,35
Rzeszów University of Technology,825,Poland,69
Queen’s University Belfast,797,Unknown Location,95
Queensland University of Technology,795,Unknown Location,95
Pablo de Olavide University,744,Spain,81
Queen Mary University of London,794,United Kingdom,93
Pontifical Catholic University of Minas Gerais,767,Brazil,8
Pondicherry University,766,India,35
Pompeu Fabra University,765,Spain,81
Polytechnic University of Valencia,764,Spain,81
Polytechnic University of Turin,763,Italy,41
Polytechnic University of Timişoara,762,Romania,73
Polytechnic University of Bucharest,761,Romania,73
Polytechnic University of Bari,760,Italy,41
Polytechnic Institute of Porto,759,Portugal,70
Politecnico di Milano,758,Unknown Location,95
Pohang University of Science and Technology (POSTECH),757,Unknown Location,95
Persian Gulf University,756,Iran,37
Penn State (Main campus),755,United States,94
Peking University,754,Unknown Location,95
Pedagogical and Technological University of Colombia,753,Colombia,14
Payame Noor University,752,Iran,37
Pavol Jozef Šafárik University in Košice,751,Slovakia,77
Parthenope University of Naples,750,Italy,41
Paris Sciences et Lettres – PSL Research University Paris,749,France,27
Paris Nanterre University,748,France,27
Panthéon-Sorbonne University – Paris 1,747,France,27
Panjab University,746,India,35
Palacký University Olomouc,745,Czech Republic,19
Pontifical Catholic University of Peru,768,Peru,67
Pontifical Catholic University of Rio Grande do Sul (PUCRS),769,Brazil,8
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),770,Brazil,8
Princess Nourah bint Abdulrahman University,783,Saudi Arabia,74
Quaid-i-Azam University,793,Pakistan,66
