Name of University,Name of University_lbEncode,Location,Location_lbEncode
Sheffield Hallam University,870,United Kingdom,93
Sharif University of Technology,869,Iran,37
Shantou University,868,China,13
Shanghai University,867,China,13
Shanghai Maritime University,866,China,13
Shanghai Jiao Tong University,865,China,13
Shahrood University of Technology,864,Iran,37
Shahrekord University,863,Iran,37
Shahid Rajaee Teacher Training University,862,Iran,37
Shahid Beheshti University of Medical Sciences,861,Iran,37
Shahid Beheshti University,860,Iran,37
Shahid Bahonar University of Kerman,859,Iran,37
Shahed University,858,Iran,37
Seoul National University of Science and Technology (SeoulTech),857,South Korea,80
Seoul National University,856,South Korea,80
Semnan University of Medical Sciences and Health Services,855,Iran,37
Semnan University,854,Iran,37
Semmelweis University,853,Unknown Location,95
Selçuk University,852,Turkey,89
Sejong University,851,South Korea,80
Shimane University,874,Japan,43
Shinshu University,875,Japan,43
Shiraz University,876,Iran,37
Sivas Cumhuriyet University,889,Turkey,89
Sorbonne University,899,France,27
Sophia University,898,Unknown Location,95
Soongsil University,897,South Korea,80
Soonchunhyang University,896,South Korea,80
"Soochow University, China",895,Unknown Location,95
Sohag University,894,Egypt,22
Sogang University,893,South Korea,80
Sofia University,892,Bulgaria,10
Slovak University of Technology in Bratislava,891,Slovakia,77
Slovak University of Agriculture in Nitra,890,Slovakia,77
Simon Fraser University,888,Unknown Location,95
Shiraz University of Medical Sciences,877,Iran,37
Silpakorn University,887,Thailand,87
Silesian University of Technology,886,Poland,69
Siksha ‘O’ Anusandhan,885,Unknown Location,95
Sidi Mohamed Ben Abdellah University,884,Morocco,56
Sichuan University of Science and Engineering,883,China,13
Sichuan University,882,China,13
Showa University,881,Japan,43
Shoolini University of Biotechnology and Management Sciences,880,India,35
Shizuoka University,879,Japan,43
Shiraz University of Technology,878,Iran,37
Technical University of Denmark,953,Denmark,20
Technical University of Liberec,955,Czech Republic,19
Universidad Pontificia Bolivariana (UPB),1059,Colombia,14
Tokyo University of Agriculture,1008,Japan,43
UNSW Sydney,1032,Unknown Location,95
UNIR – International University of La Rioja,1031,Spain,81
UCL,1030,United Kingdom,93
Tzu Chi University,1029,Taiwan,85
Tunghai University,1028,Taiwan,85
Tulane University,1027,United States,94
Tufts University,1026,United States,94
Tsinghua University,1025,Unknown Location,95
Tshwane University of Technology,1024,South Africa,79
Trinity College Dublin,1023,Unknown Location,95
Tribhuvan University,1022,Nepal,59
Transilvania University of Brașov,1021,Romania,73
Toyota Technological Institute,1020,Japan,43
Toyohashi University of Technology (TUT),1019,Japan,43
Toyo University,1018,Japan,43
Tottori University,1017,Japan,43
Toronto Metropolitan University,1016,Unknown Location,95
Tongji University,1015,China,13
Ton Duc Thang University,1014,Unknown Location,95
Tomas Bata University in Zlín,1013,Czech Republic,19
Tokyo University of Science,1012,Japan,43
Tokyo University of Pharmacy and Life Sciences,1011,Japan,43
Tokyo University of Marine Science and Technology,1010,Japan,43
USAMV Cluj-Napoca,1033,Romania,73
UiT The Arctic University of Norway,1034,Norway,64
Ulm University,1035,Germany,29
Universidad Autónoma del Estado de Hidalgo,1048,Mexico,54
Universidad Politécnica Salesiana,1058,Ecuador,21
Universidad Peruana Cayetano Heredia,1057,Peru,67
Universidad Panamericana (UP),1056,Mexico,54
Universidad Nacional del Litoral,1055,Argentina,1
Universidad Nacional Mayor de San Marcos,1054,Peru,67
Universidad Michoacana de San Nicolás de Hidalgo,1053,Mexico,54
Universidad Industrial de Santander (UIS),1052,Colombia,14
Universidad Católica San Antonio de Murcia (UCAM),1051,Spain,81
Universidad Autónoma del Estado de Morelos,1050,Mexico,54
Universidad Autónoma del Estado de Mexico (UAEMex),1049,Mexico,54
Universidad Autónoma de Yucatán,1047,Mexico,54
Ulsan National Institute of Science and Technology (UNIST),1036,Unknown Location,95
Universidad Autónoma de Querétaro,1046,Mexico,54
Universidad Autónoma de Nuevo León (UANL),1045,Mexico,54
Universidad Autónoma de Coahuila,1044,Mexico,54
Universidad Autónoma de Ciudad Juárez,1043,Mexico,54
Universidad Autónoma de Chile,1042,Chile,12
Universidad Autónoma Chapingo,1041,Mexico,54
Universidad Andrés Bello (UNAB),1040,Chile,12
United Arab Emirates University,1039,Unknown Location,95
Unisinos University,1038,Brazil,8
Umeå University,1037,Sweden,83
Tokyo University of Agriculture and Technology,1009,Japan,43
Tokyo Metropolitan University,1007,Unknown Location,95
Technical University of Loja,956,Ecuador,21
Tokyo Medical and Dental University (TMDU),1006,Japan,43
The Jikei University School of Medicine,979,Japan,43
The Islamia University of Bahawalpur,978,Pakistan,66
The Hong Kong University of Science and Technology,977,Unknown Location,95
The Hashemite University,976,Unknown Location,95
The Catholic University of Korea,975,Unknown Location,95
The British University in Egypt,974,Egypt,22
Thammasat University,973,Unknown Location,95
Tezpur University,972,India,35
Texas Tech University,971,United States,94
Texas State University,970,United States,94
Texas A&M University,969,United States,94
Temuco Catholic University,968,Chile,12
Temple University,967,United States,94
Telkom University,966,Indonesia,36
Tel Aviv University,965,Israel,40
Teikyo University,964,Japan,43
Teesside University,963,United Kingdom,93
Technological University of Pereira,962,Colombia,14
Technological University Dublin,961,Ireland,39
Technion Israel Institute of Technology,960,Israel,40
Technical University of Sofia,959,Bulgaria,10
Technical University of Munich,958,Unknown Location,95
Technical University of Madrid,957,Spain,81
The John Paul II Catholic University of Lublin,980,Poland,69
The New School,981,United States,94
The Open University,982,United Kingdom,93
Tianjin University,995,China,13
Tokyo Medical University,1005,Japan,43
Tokyo Institute of Technology,1004,Japan,43
Tokyo Denki University,1003,Japan,43
Tokyo City University,1002,Japan,43
Tokushima University,1001,Japan,43
Tokat Gaziosmanpaşa University,1000,Turkey,89
Tokai University,999,Japan,43
Tohoku University,998,Japan,43
Toho University,997,Japan,43
Tilburg University,996,Unknown Location,95
The University of the West Indies,994,Jamaica,42
The University of Aizu,983,Japan,43
The University of Western Australia,993,Australia,2
The University of Tulsa,992,United States,94
The University of Tokyo,991,Japan,43
The University of Tennessee-Knoxville,990,United States,94
The University of Sydney,989,Australia,2
The University of Queensland,988,Unknown Location,95
The University of Jordan,987,Jordan,44
